Title,Price,Link,Status,Loc_Date
Komputer stacjonarny Amd Athlon 64 plus telewizor Samsung 32 cale,250 zł,/d/oferta/komputer-stacjonarny-amd-athlon-64-plus-telewizor-samsung-32-cale-CID99-IDQLadD.html,Używane,Sieradz - Dzisiaj o 13:49
PC do GIER Intel 8'th/GTX/SSD/8GB komputer gamingowy FV.,"699,99 zł",/d/oferta/pc-do-gier-intel-8th-gtx-ssd-8gb-komputer-gamingowy-fv-CID99-IDSc2T0.html,Używane,Rzeszów - Dzisiaj o 13:49
Gaming 8GB DDR3 1600 CL7 GSkill F3-12800CL7D-4GBRM 4X 2GB,90 zł,/d/oferta/gaming-8gb-ddr3-1600-cl7-gskill-f3-12800cl7d-4gbrm-4x-2gb-CID99-IDANd9w.html,Używane,Nowa Wola - Dzisiaj o 13:48
"Komputer  8 gb ramu , krata graficzna 512 mb ,dysk 1 tb , 2x 2,80ghz",200 zł,/d/oferta/komputer-8-gb-ramu-krata-graficzna-512-mb-dysk-1-tb-2x-2-80ghz-CID99-IDTtlyw.html,Używane,Nowy Sącz - Dzisiaj o 13:47
UŻYWANY komputer Dell Optiplex 7060 SFF 16GB RAM 512GB NVMe i5-8400 FV,1 649 zł,/d/oferta/uzywany-komputer-dell-optiplex-7060-sff-16gb-ram-512gb-nvme-i5-8400-fv-CID99-IDTYpER.html,Używane,Koszalin - Dzisiaj o 13:46
Komputer gamingowy i5 9600k / GTX 1660Ti / Z390 / GWARANCJA,2 550 złdo negocjacji,/d/oferta/komputer-gamingowy-i5-9600k-gtx-1660ti-z390-gwarancja-CID99-IDTtahu.html,Używane,"Poznań, Rataje - Dzisiaj o 13:46"
Komputer Acer model Extensa 5620,180 zł,/d/oferta/komputer-acer-model-extensa-5620-CID99-IDTYpAw.html,Używane,"Warszawa, Wola - Dzisiaj o 13:45"
iMac 2019 27’ Retina 5K,4 900 zł,/d/oferta/imac-2019-27-retina-5k-CID99-IDPopCb.html,Używane,"Szczecin, Pogodno - 19 marca 2023"
"HP Z230 SFF i7-4770 4x3.4GHz , 16GB, SDD 256GB, HDD 500GB, WIN10 PRO",660 zł,/d/oferta/hp-z230-sff-i7-4770-4x3-4ghz-16gb-sdd-256gb-hdd-500gb-win10-pro-CID99-IDTSETC.html,Używane,"Warszawa, Targówek - 30 marca 2023"
Dell Optiplex 5050 i5-7500 8GB DDR4 512 SSD Radeon 4GB,1 499 zł,/d/oferta/dell-optiplex-5050-i5-7500-8gb-ddr4-512-ssd-radeon-4gb-CID99-IDTwrdJ.html,Używane,"Warszawa, Targówek - 07 marca 2023"
"Настройка, ремонт, обмен компьтерньіх комплектующих",7 zł,/d/oferta/-CID99-IDRw1ww.html,Używane,"Poznań, Piątkowo - Dzisiaj o 13:44"
Komputer do gier bez karty graficznej. 8 GB ram,399 złdo negocjacji,/d/oferta/komputer-do-gier-bez-karty-graficznej-8-gb-ram-CID99-IDTgjEZ.html,Używane,Buśno - Dzisiaj o 13:44
iMac 24’ stan idealny,250 zł,/d/oferta/imac-24-stan-idealny-CID99-IDSZydB.html,Używane,Libusza - Dzisiaj o 13:42
"Komputer Asus P5B, intel core2",370 zł,/d/oferta/komputer-asus-p5b-intel-core2-CID99-IDSc6Pf.html,Używane,Domasław - Dzisiaj o 13:41
Komputer gamingowy,1 350 złdo negocjacji,/d/oferta/komputer-gamingowy-CID99-IDTYpkR.html,Używane,"Kraków, Mistrzejowice - Dzisiaj o 13:40"
Zestaw do internetu mobilnego TP-LINK TL-MR3420 + HUAWEI e3272,129 zł,/d/oferta/zestaw-do-internetu-mobilnego-tp-link-tl-mr3420-huawei-e3272-CID99-IDTH7W7.html,Używane,Leżajsk - Dzisiaj o 13:38
Komputer GeForce 1050Ti 4GB,1 150 złdo negocjacji,/d/oferta/komputer-geforce-1050ti-4gb-CID99-IDTgfFd.html,Używane,Człuchów - Dzisiaj o 13:38
Komputer stacjonarny,500 złdo negocjacji,/d/oferta/komputer-stacjonarny-CID99-IDdny27.html,Używane,Piotrków Trybunalski - Dzisiaj o 13:36
Zasilacz Corsair VS650 650W,60 zł,/d/oferta/zasilacz-corsair-vs650-650w-CID99-IDTGsn1.html,Uszkodzone,Zamość - Dzisiaj o 13:35
Stacjonarny RTX 3060 12 GB i5p10400 6x4.3Ghz Ram 16GB  Gwarancja  2.5R,4 800 złdo negocjacji,/d/oferta/stacjonarny-rtx-3060-12-gb-i5p10400-6x4-3ghz-ram-16gb-gwarancja-2-5r-CID99-IDTfcL4.html,Używane,Puławy - Dzisiaj o 13:35
PC i9-13900KF RTX 4090 32GB M2. 1TB+2TB 1500W Z790 Aorus Master Elgato,25 000 zł,/d/oferta/pc-i9-13900kf-rtx-4090-32gb-m2-1tb-2tb-1500w-z790-aorus-master-elgato-CID99-IDTzrNO.html,Nowe,"Białystok, Centrum - Odświeżono dnia 02 kwietnia 2023"
Monitor LG +Hp Compaq Elite 8300 I5-3570 4x3.40 GHz 8Gb 500Gb HDD,290 zł,/d/oferta/monitor-lg-hp-compaq-elite-8300-i5-3570-4x3-40-ghz-8gb-500gb-hdd-CID99-IDSvKzQ.html,Używane,Cieszyn - 21 marca 2023
